employee_id,name,age,gender,department,role,join_date,salary_bhd
E00042,Ruben Fisher,48,F,IT,Finance,2017-09-06,4806.13
E00043,Michelle Lee,39,M,IT,Support,2025-02-13,7980.04
E00044,Derek Fuller,48,F,IT,Manager,2024-01-05,6248.91
E00045,Miss Melissa Reed DDS,33,M,Finance,Engineer,2015-10-11,7104.33
E00046,Mr. Jonathan Schwartz,54,M,Finance,Finance,2017-04-11,3271.11
E00047,Erika Parker,22,F,Finance,Sales,2025-08-14,7648.04
E00048,Samuel Franklin,36,M,Sales,Manager,2025-04-28,2811.9
E00049,Paul Reed,40,F,Operations,HR,2021-01-04,6713.95
E00050,Christopher Gibson,36,F,IT,Support,2021-11-26,1627.39
E00051,Emily Arias,49,F,Sales,Engineer,2015-10-15,5729.91
E00052,Mr. Tyler Thornton,32,F,Operations,Manager,2023-09-07,2553.34
E00053,Lori Friedman,25,F,Sales,Engineer,2017-07-02,1565.86
E00054,Jennifer Marquez,35,M,Finance,Support,2016-11-09,5712.29
E00055,Robert Rich,48,M,HR,HR,2021-08-19,1406.18
E00056,Thomas Smith,32,F,IT,Engineer,2016-04-28,1369.15
E00057,Rebecca Calderon,39,M,IT,Support,2017-02-03,7015.0
E00058,Joseph Santiago,32,F,Finance,HR,2019-05-30,1846.99
E00059,Gloria Harris,23,F,Operations,HR,2018-03-30,1246.57
E00060,Kathryn Sanchez,28,M,Finance,Sales,2025-02-05,1042.42
E00061,Samuel Hansen,53,M,HR,Finance,2016-11-06,4572.3
E00062,Nicole Brooks,45,M,Finance,Manager,2017-05-28,2363.72
E00063,Jeffrey Brown,57,M,Operations,Support,2019-02-25,2000.32
E00064,Dr. Eric Ellis,25,F,IT,HR,2017-01-03,5057.94
E00065,Emily Lewis,43,F,Operations,Engineer,2022-02-24,3857.03
E00066,Maria Sanchez,27,M,IT,HR,2023-11-21,5987.61
E00067,Wanda Campbell,55,F,Operations,Sales,2024-08-04,6797.18
E00068,Dr. Rebecca Hernandez,38,M,Sales,Engineer,2018-08-20,3756.13
E00069,Rachel Simpson,40,M,Operations,Finance,2020-06-11,5182.96
E00070,Jerry Ramirez,50,M,Finance,HR,2024-05-20,7765.64
E00071,Eric Goodman,41,F,Finance,Finance,2020-05-07,3532.32
E00072,Nancy Bowen,43,M,IT,Support,2018-08-09,2287.41
E00073,Robert Sullivan,38,M,Sales,Support,2016-11-24,2387.84
E00074,Autumn Zamora,43,F,HR,Support,2025-07-20,2919.84
E00075,Aaron Schmitt,39,F,Finance,Sales,2023-04-19,5045.62
E00076,Amanda Wright,41,F,Operations,Sales,2023-10-28,6396.75
E00077,John Edwards,35,M,Sales,Sales,2021-01-29,4767.35
E00078,Karen Rogers,33,M,Operations,Sales,2022-07-18,5753.8
E00079,Chloe Compton,27,M,Finance,Engineer,2022-01-19,3643.61
E00080,Matthew Glass,25,M,Sales,Engineer,2021-11-28,7453.11
E00081,Amanda Ashley,28,M,HR,HR,2020-01-23,5833.67
E00082,Meagan Wright,42,F,IT,HR,2021-04-21,5561.65
E00083,Corey Johnson,55,M,Finance,Manager,2024-04-06,4386.11
E00084,Eduardo Hess,57,F,Finance,Sales,2019-01-28,6256.71
E00085,Sheila Robertson,45,M,Finance,Manager,2022-11-29,2481.11
E00086,Lisa Simpson,22,M,Operations,Sales,2023-10-04,6377.02
E00087,Elizabeth Ramos,31,F,HR,Support,2019-07-14,4503.84
E00088,William Mcgrath,22,M,Finance,Finance,2024-01-30,6040.05
E00089,Monica Bradley,45,M,IT,HR,2017-09-25,7055.47
E00090,Christopher Lopez,53,M,Finance,HR,2016-08-05,6829.04
E00091,Scott Rodriguez,34,M,Finance,Engineer,2020-06-27,5997.18
E00092,Edward Morton,29,F,HR,HR,2021-04-05,3444.71
E00093,Jill Williams,44,F,HR,Support,2017-01-10,7731.13
E00094,Charles Sutton,31,F,HR,Manager,2021-02-28,3568.51
E00095,Kelly Turner,36,F,Sales,Engineer,2022-04-02,3119.89
E00096,Patricia Murphy,57,M,IT,Sales,2022-08-08,3889.72
E00097,Melissa Robinson,27,M,IT,HR,2022-02-22,5688.62
E00098,Amanda Murphy,48,M,Operations,Engineer,2016-02-20,7665.44
E00099,Tim Warner,46,M,Operations,Manager,2016-06-23,7316.08
E00100,Amber Nelson,43,M,HR,Support,2024-02-02,3999.94
E00101,Shelby Velasquez,51,F,IT,Support,2019-12-23,3212.63
E00102,Rebecca Hopkins,60,M,Sales,Support,2019-07-21,7028.27
E00103,Matthew Garner,33,F,Sales,Finance,2023-11-05,4367.14
E00104,Stephen Sherman,55,M,IT,Sales,2019-07-07,3982.18
E00105,James Rojas,30,F,IT,HR,2017-04-07,1492.39
E00106,Jessica Owens,58,M,Sales,Engineer,2018-10-30,1364.59
E00107,Michael Dominguez,56,M,Operations,Engineer,2018-02-19,5184.6
E00108,Janet Dillon,52,F,Sales,Engineer,2024-05-09,1135.37
E00109,Amanda Green,46,F,HR,Support,2018-08-31,5980.28
E00110,Lauren Moreno,49,F,HR,Finance,2020-02-28,1691.56
E00111,Michele Pineda,46,M,Operations,Finance,2016-06-01,2459.95
E00112,Katherine Woods,48,M,HR,Sales,2022-07-13,4377.46
E00113,Andrew Jackson,48,F,Sales,HR,2023-10-27,3302.33
E00114,Margaret Martin,37,M,IT,HR,2019-07-15,2042.04
E00115,Christine Cochran,31,F,Sales,Manager,2020-11-11,4164.53
E00116,Rebecca Bates,37,F,Sales,Sales,2017-04-16,1243.92
E00117,Cassandra Todd,42,F,Finance,HR,2018-01-18,4921.26
E00118,Shawn Mcintyre,49,M,Sales,Manager,2017-08-23,4200.64
E00119,Chelsea Adams,48,F,HR,HR,2016-07-27,5391.55
E00120,Joshua Washington,57,F,Finance,Support,2018-05-03,4173.56
E00121,Joshua Brewer,22,F,IT,Finance,2024-02-28,5881.59
E00122,Stephanie Erickson,37,F,HR,Finance,2019-07-11,7824.11
E00123,Christina Brown,31,M,Finance,Sales,2019-03-12,7176.28
E00124,Matthew Morgan,38,F,HR,Engineer,2019-12-04,1855.87
E00125,Veronica Santos,48,F,HR,Sales,2019-05-10,5509.8
E00126,Robert Shelton,42,F,Sales,Sales,2022-11-06,1585.13
E00127,Kayla Johnson,42,F,HR,HR,2021-11-06,1650.65
E00128,Brent Romero,49,M,IT,HR,2024-06-21,3437.23
E00129,David Brown,56,M,HR,Finance,2020-08-08,4413.05
E00130,Jamie Gutierrez,24,F,HR,Engineer,2016-07-11,3033.22
E00131,Michael Robinson,37,M,Sales,Support,2021-02-04,3073.7
E00132,Dawn Yang,47,F,Finance,Finance,2017-02-18,2729.76
E00133,Kimberly Garcia,44,F,Sales,Sales,2022-03-31,7286.68
E00134,Mrs. Alyssa Myers,44,F,Sales,Finance,2022-07-29,6320.87
E00135,John Pope,23,M,Finance,Sales,2021-04-16,6093.81
E00136,Terrence King,52,M,Sales,Finance,2022-09-17,6343.34
E00137,Jennifer Arnold,60,M,Operations,Manager,2022-07-29,1584.88
E00138,Robert Mueller,30,F,IT,Support,2018-10-03,2703.9
E00139,Mitchell Hall,58,M,IT,Engineer,2022-11-02,6303.25
E00140,Stacy Jordan,49,M,Sales,Support,2022-01-24,1254.68
E00141,Kimberly James,50,M,Operations,Manager,2024-07-27,7916.92
E00142,Kendra Neal,33,M,HR,Support,2022-01-24,4684.55
E00143,Bill Carter,44,F,Operations,Sales,2021-01-12,1140.88
E00144,Annette Gomez,25,M,IT,Finance,2024-07-25,3173.58
E00145,Todd Gutierrez,22,M,Sales,HR,2018-10-27,5299.66
E00146,Kimberly Morales,50,F,Finance,Engineer,2016-10-02,5013.9
E00147,Jason Perez,53,M,Operations,HR,2022-11-21,3285.81
E00148,Robert Olson,58,F,Finance,Engineer,2019-03-26,6718.2
E00149,Heather Hartman,44,M,Finance,HR,2021-02-11,5808.78
E00150,Carolyn Owens,27,M,Operations,HR,2020-06-23,3506.63
E00151,Monica Pace,48,M,Sales,Support,2018-04-14,2707.47
E00152,James Gregory,60,F,HR,Finance,2021-08-11,4609.88
E00153,Angela Dixon,28,F,IT,Support,2024-08-27,6497.68
E00154,Misty Johnson,56,M,Finance,Finance,2023-09-24,6306.83
E00155,Christopher Walker,36,F,Sales,Finance,2022-01-16,4677.81
E00156,Richard Jones,53,M,HR,HR,2018-11-19,5990.5
E00157,Jeffrey Lopez,58,F,Operations,Support,2022-01-19,2474.96
E00158,John Haley,49,F,HR,Engineer,2019-06-30,5430.94
E00159,Brandi Wong,32,M,Sales,Engineer,2022-02-04,2278.97
E00160,Jeffrey Ramirez,42,F,IT,HR,2016-05-04,3136.62
E00161,Keith Lewis,57,F,Finance,Support,2021-06-02,4150.99
E00162,Diana Martin,40,M,Sales,Finance,2019-07-01,3477.92
E00163,Eric Alvarez,23,F,Operations,Manager,2023-10-26,1239.65
E00164,Eric Allen,49,M,Sales,Manager,2020-04-06,7884.36
E00165,Kenneth Strong,23,M,Finance,Sales,2023-01-14,3410.61
E00166,Robert Fisher,48,M,IT,Support,2023-07-31,3101.69
E00167,Mary Johnson,44,F,Finance,Manager,2015-12-06,5271.89
E00168,Dr. Susan Bell MD,37,F,Sales,Sales,2023-02-22,4565.35
E00169,Andrea Pope,29,F,HR,Manager,2022-12-31,2870.3
E00170,Michael Gay,56,M,Operations,Engineer,2019-08-26,2591.85
E00171,Jennifer Johnson,27,M,IT,Support,2024-11-12,5604.47
E00172,Robert Mitchell,59,F,IT,Manager,2016-05-01,5632.05
E00173,Angela Carpenter,40,M,Operations,HR,2016-01-13,1797.36
E00174,Frances Jackson,28,F,Finance,Manager,2023-06-23,1691.65
E00175,Laura Duran,54,M,Finance,Support,2021-08-08,4516.11
E00176,Kim Ray,33,F,IT,Finance,2019-10-18,6314.73
E00177,Scott Brown,23,M,IT,Sales,2022-11-25,6908.18
E00178,Timothy Bates,57,M,Operations,HR,2022-11-08,4795.93
E00179,Angela Brown,56,M,HR,Finance,2018-07-22,2639.1
E00180,Steven Hill,50,F,HR,Sales,2016-06-24,913.95
E00181,Sheryl Hernandez,25,M,Finance,Manager,2025-06-25,3987.87
E00182,Kelly Wilson,43,F,Finance,Manager,2023-04-26,6316.11
E00183,Kelsey Henson,38,M,Finance,HR,2022-02-25,6167.06
E00184,John Browning,44,F,HR,Sales,2020-03-19,830.21
E00185,Timothy Bell,58,F,Operations,Engineer,2021-12-11,6123.48
E00186,John Vargas,50,F,HR,Manager,2019-03-28,2665.17
E00187,Luke Brown,32,M,HR,Sales,2022-07-02,6771.1
E00188,Ashley Reynolds,58,F,Sales,Finance,2016-12-06,4637.79
E00189,Sheila Jimenez,56,M,Sales,Manager,2021-06-02,7318.35
E00190,Allison Brewer,58,F,Finance,Sales,2024-11-13,2829.36
E00191,Cody Thomas,35,M,Finance,Finance,2021-04-29,4386.99
E00192,David Wagner,58,M,Sales,HR,2021-09-23,4204.9
E00193,Zachary Medina,43,M,Sales,Finance,2019-04-29,3733.98
E00194,Daniel Davis,48,M,Sales,Sales,2016-02-23,1350.14
E00195,Mary Hunter,25,F,Sales,Engineer,2025-02-12,4915.08
E00196,Beth Cohen,39,M,Finance,Engineer,2021-12-20,3059.54
E00197,Reginald Wilson,47,M,Operations,Support,2021-09-07,6253.89
E00198,Gerald Powell,53,F,Operations,Finance,2023-08-13,5806.37
E00199,Michael Hall,22,M,IT,HR,2017-07-12,3225.81
E00200,Mark Archer,51,F,HR,Support,2015-10-03,4290.69
E00201,Jacob Hernandez,37,M,HR,Engineer,2019-04-17,6696.64
E00202,Nancy Jones,26,M,IT,Support,2019-09-19,2606.95
E00203,Glenn Thompson,39,M,Finance,Manager,2022-11-26,4764.49
E00204,Elijah Ford,30,F,Sales,Support,2016-08-27,7102.94
E00205,Angela Ayala,60,M,IT,Manager,2019-12-27,6031.8
E00206,Rhonda Brown,49,F,Finance,Finance,2018-08-08,5464.69
E00207,Tyler Davis,54,M,Sales,Support,2021-05-09,1196.7
E00208,Douglas Mccoy,36,M,IT,Sales,2015-11-14,6982.9
E00209,Sara Lee,30,F,Operations,Sales,2018-06-16,1312.98
E00210,Levi Bradley,44,F,Sales,Support,2019-07-04,3326.52
E00211,Leslie Montgomery,25,M,HR,Manager,2021-01-25,6756.08
E00212,Michelle Cook,55,F,IT,Finance,2024-07-03,4435.24
E00213,Richard Smith,46,M,Finance,HR,2023-07-01,7773.56
E00214,David Ramos,22,F,IT,Engineer,2019-07-16,7344.78
E00215,Shawn Turner,38,M,Operations,Engineer,2020-01-26,5479.68
E00216,Ronald Anderson,25,M,Operations,Sales,2023-08-06,5526.86
E00217,Sheila Marsh,50,M,Sales,Sales,2023-09-22,861.62
E00218,Wayne Hernandez,29,F,IT,HR,2016-07-31,4024.18
E00219,Lauren Morton,48,F,Operations,Engineer,2021-08-07,4932.98
E00220,Mary Phillips MD,26,M,HR,Finance,2024-07-28,2644.73
E00221,Sherry Moore,33,M,Sales,Engineer,2021-11-24,2045.11
E00222,Gregory Cherry,56,F,IT,Sales,2022-11-08,7963.57
E00223,Sharon Case,45,M,Sales,Engineer,2024-12-13,7092.66
E00224,Laura Thomas,52,M,Operations,HR,2021-01-10,1018.56
E00225,Robert Soto,37,F,HR,Finance,2016-07-10,2357.86
E00226,Kristin Garcia,41,M,Finance,Finance,2022-08-22,3547.08
E00227,Roy Butler,45,M,Operations,Manager,2020-11-06,5212.77
E00228,Antonio Brooks,60,M,IT,Sales,2021-05-12,4675.82
E00229,Jaclyn Martinez,23,F,HR,Finance,2022-07-23,7930.42
E00230,Rebecca Martinez,58,M,HR,Engineer,2024-09-07,3130.32
E00231,Jessica Fischer,29,F,Finance,Engineer,2025-06-03,1453.49
E00232,Ashley Walker,28,F,Sales,Engineer,2016-07-05,5046.72
E00233,Valerie Hoffman,45,M,Operations,HR,2017-04-12,7028.23
E00234,Roberta Krause,57,F,Finance,Engineer,2024-12-04,3803.0
E00235,Christopher Olsen,34,F,HR,Manager,2018-02-11,7475.36
E00236,David Conner,47,F,Finance,Manager,2020-01-31,2699.56
E00237,Ryan Jones,42,M,Operations,Sales,2019-06-17,4358.16
E00238,John Lee,43,F,HR,HR,2019-03-01,4186.0
E00239,Melissa Salazar,23,F,HR,HR,2022-06-08,7828.14
E00240,Kayla Carr MD,46,F,HR,HR,2023-04-25,4764.87
E00241,Matthew Gonzalez,59,M,IT,Finance,2019-05-07,1813.63
E00242,Mr. James Sampson,56,M,HR,Sales,2025-03-05,5351.73
E00243,Javier Velazquez,48,F,IT,Engineer,2024-06-17,6767.64
E00244,Anthony Ward,27,F,Sales,Sales,2016-11-05,7487.58
E00245,Darren Gibson,46,M,HR,HR,2020-08-31,3580.17
E00246,Douglas Griffin,22,F,IT,Manager,2022-02-03,7125.39
E00247,Zachary Skinner,51,F,Finance,Sales,2020-05-19,7230.17
E00248,Kristine Rivers,48,F,Finance,Manager,2021-06-05,5496.03
E00249,Brian Johnson,48,F,Operations,Engineer,2017-06-02,7513.06
E00250,Cindy Lopez,22,M,IT,Finance,2024-02-17,1031.42
E00251,Amanda Hancock,43,F,HR,Engineer,2021-03-01,6156.31
E00252,Kyle Lopez,42,M,Sales,Support,2018-02-15,4522.7
E00253,Ernest Henry,59,M,Sales,Support,2022-02-13,7786.51
E00254,Lindsey Ray,42,M,HR,Manager,2022-10-13,1097.19
E00255,Carla Gentry,33,F,Finance,Engineer,2025-08-26,5850.11
E00256,James Vaughn,50,F,Sales,Finance,2016-08-07,1949.8
E00257,Melissa Mcclain,54,F,Finance,HR,2020-12-08,7042.42
E00258,Stephen Luna,55,M,Sales,Finance,2023-07-16,2540.24
E00259,Jessica Shah,46,M,IT,Support,2016-09-18,5149.05
E00260,Kevin Hart,42,F,IT,Support,2019-07-05,6910.87
E00261,Natasha Williams,37,M,HR,HR,2019-12-03,4561.5
E00262,Dawn Banks,32,F,Operations,Sales,2020-10-27,7048.69
E00263,Shannon Garcia,27,M,Operations,HR,2021-06-30,7106.54
E00264,Marcus Higgins,29,F,Operations,Finance,2019-09-29,5266.16
E00265,Karen Conner,54,F,Finance,Sales,2023-06-28,875.49
E00266,Raven Gutierrez,41,F,IT,Engineer,2017-09-03,1404.46
E00267,Jeremy Webb,40,F,Operations,Manager,2019-10-21,6817.09
E00268,Joshua Johnson,51,F,Sales,Support,2018-08-12,2424.57
E00269,Tracy Gross,41,M,HR,Finance,2018-04-11,4552.55
E00270,David Nichols,60,F,Operations,Sales,2019-02-24,2854.55
E00271,Shawn Shields,32,M,Operations,Manager,2015-11-11,6050.25
E00272,Ms. Danielle Gallegos,48,M,Finance,Manager,2017-09-14,3491.7
E00273,Sharon Vega,50,M,Operations,Support,2023-11-02,4350.6
E00274,Gordon Freeman,58,F,Sales,HR,2018-08-15,3871.66
E00275,Lisa Lee,39,M,Finance,Manager,2017-07-12,6718.34
E00276,Teresa Gibbs,51,F,Finance,Manager,2023-11-21,1035.23
E00277,Derek Chavez,22,M,Finance,Sales,2021-12-25,7197.27
E00278,Carla Holden,42,M,HR,Engineer,2021-11-27,5043.05
E00279,Robert White,59,F,Finance,HR,2018-01-22,6282.52
E00280,Natasha Ortiz,41,F,Operations,Sales,2017-01-27,2945.55
E00281,Amber Fuller,54,F,IT,Manager,2021-04-26,3478.78
E00282,Samantha Anderson,46,F,Sales,HR,2024-01-12,2409.15
E00283,Eric Jackson,59,F,HR,Engineer,2024-11-26,6471.98
E00284,Jeffrey Atkins,35,F,HR,Manager,2019-12-09,2233.36
E00285,Alice Carter,59,M,IT,Manager,2016-10-23,5231.95
E00286,Adam Moore,44,F,Finance,Finance,2023-01-05,5812.85
E00287,Diane Torres,59,M,Sales,Manager,2019-06-08,1881.78
E00288,Nathan Nelson,47,M,Operations,Manager,2023-03-01,1967.83
E00289,Nicholas Wood,28,F,Sales,Engineer,2023-03-08,6211.69
E00290,Anthony Lynn,27,F,IT,HR,2022-03-17,2025.65
E00291,Antonio Logan,46,F,Sales,Support,2018-04-08,3547.13
E00292,Jessica Garner,43,M,Operations,Support,2018-10-07,2911.89
E00293,Eric Miller,28,F,IT,Engineer,2019-07-29,4250.16
E00294,Mary Burgess,52,M,HR,HR,2022-09-14,3645.65
E00295,Katherine Smith,26,F,Finance,Manager,2016-03-24,4796.67
E00296,Sarah Mitchell,50,M,IT,HR,2022-06-20,4420.83
E00297,Heather White,30,F,Operations,Sales,2016-01-19,1491.37
E00298,Shannon Winters,44,M,Sales,Sales,2021-06-15,4144.17
E00299,Renee Rice,39,F,HR,Sales,2017-02-20,4420.14
E00300,Benjamin Shepherd,30,F,IT,Manager,2016-06-20,3372.42
E00301,Mr. Mark Price,26,F,Sales,HR,2015-10-21,6986.11
E00302,Kaitlyn Mclean,50,M,IT,Manager,2025-04-13,7943.69
E00303,Ashley Gamble,43,F,Finance,Sales,2025-09-23,7030.16
E00304,John Ray,22,F,Sales,Support,2021-01-17,6597.54
E00305,Amanda Rich,54,F,HR,Sales,2023-12-08,1636.06
E00306,Susan Mccormick,30,F,Sales,Engineer,2017-01-18,6113.4
E00307,Alexander Hill,28,M,HR,Finance,2017-08-14,6587.63
E00308,Andrea Fox,30,F,Operations,Finance,2023-01-08,2640.45
E00309,Michelle Montgomery,54,M,HR,Sales,2023-03-04,2146.28
E00310,Jonathan Dixon,57,F,Sales,Engineer,2024-02-01,1188.55
E00311,Yvonne Nelson,31,F,IT,Engineer,2017-06-22,6252.1
E00312,Richard Estes,58,F,Finance,Support,2016-12-31,2271.55
E00313,Timothy Bennett,24,M,Operations,Support,2025-07-28,4028.89
E00314,Sharon Bates,60,F,HR,HR,2020-07-20,5266.82
E00315,Nicole Gray,27,F,Sales,Finance,2024-02-24,2843.94
E00316,Cassandra Moyer,42,F,Finance,Sales,2022-09-29,5867.05
E00317,Ryan Williams,50,M,Sales,HR,2016-05-23,3094.02
E00318,James Morris,26,M,Sales,Support,2016-05-27,7497.39
E00319,Caitlyn Lopez,33,M,IT,Support,2021-02-15,1786.41
E00320,Michelle Allen,24,F,IT,Sales,2022-03-26,4400.28
E00321,Robert Brooks,47,F,IT,HR,2023-03-25,1070.76
E00322,Cindy Fisher,59,F,Finance,Manager,2018-09-22,1660.69
E00323,Anthony Johnson,32,F,IT,Manager,2023-11-26,6674.29
E00324,Pam Vargas,45,F,Finance,Sales,2023-12-01,2134.22
E00325,Michael Campbell,48,M,Finance,Sales,2016-02-01,6269.82
E00326,Michael King,47,F,Finance,Manager,2023-11-12,5515.68
E00327,Timothy Buchanan,44,F,IT,Engineer,2017-10-01,1640.55
E00328,Paul Hart,23,M,Finance,Support,2018-02-03,4708.02
E00329,Jennifer Brooks,59,M,IT,Support,2020-11-14,4311.65
E00330,Lisa Steele,39,M,Sales,Engineer,2023-01-06,1533.38
E00331,Lauren Tucker,54,M,IT,Manager,2023-10-08,5302.68
E00332,Amy Pham,48,M,HR,Engineer,2017-02-10,4087.27
E00333,Patricia Brown,26,F,Sales,Finance,2023-04-11,4059.86
E00334,Kayla Walls,29,M,Operations,Support,2021-03-11,2549.38
E00335,James Murray,34,F,Finance,Manager,2023-05-13,3182.95
E00336,Anthony Alexander,48,F,Finance,Manager,2023-09-12,7441.28
E00337,Billy George,47,M,Operations,Manager,2023-01-01,4393.96
E00338,Jennifer Lopez,44,F,Operations,Sales,2017-08-27,4621.33
E00339,William Riddle,40,F,Sales,Engineer,2020-07-09,878.48
E00340,Corey Gates,55,F,Sales,Sales,2016-12-21,6452.83
E00341,Brandon Baker,58,M,Operations,Support,2018-02-05,2790.29
E00342,Michael Olsen,27,F,Finance,Support,2016-08-29,5441.22
E00343,William Anderson,43,F,Operations,Manager,2020-04-05,5073.64
E00344,Kevin Garcia,26,M,Operations,Engineer,2022-12-22,3938.76
E00345,Kelly Paul,52,M,Operations,Support,2016-09-27,6993.76
E00346,Adriana Campbell,59,M,Sales,Manager,2017-10-22,2611.67
E00347,Natalie Kemp,35,M,Sales,Engineer,2024-08-15,1343.98
E00348,Robin Miller,33,M,Operations,Engineer,2020-08-25,4683.99
E00349,Christine Horn,37,F,Sales,Support,2015-11-03,5648.77
E00350,Laura Miller,54,F,Sales,Finance,2020-12-06,7330.68
E00351,Charles Coleman,38,F,Operations,Sales,2022-03-20,5547.91
E00352,Heather Miller,52,F,Finance,Engineer,2023-07-06,7586.28
E00353,Larry Harris,48,M,Finance,Sales,2019-03-14,6986.65
E00354,Kevin Buckley,47,M,Sales,HR,2019-11-21,1282.18
E00355,Justin Jenkins,50,M,Sales,HR,2017-03-11,7111.69
E00356,Paul Brown,58,F,Operations,HR,2017-05-15,7444.78
E00357,Dana Myers,52,F,Finance,Manager,2018-04-29,7172.16
E00358,Janet Chung,49,F,Sales,Finance,2022-03-09,2459.61
E00359,Charles Adams,58,F,Finance,Finance,2024-07-21,4244.28
E00360,Mrs. Leah Villa,41,M,HR,Support,2024-09-07,3341.9
E00361,Felicia Caldwell,46,F,Finance,Sales,2016-03-24,5511.62
E00362,Deanna Olson,55,F,Operations,Support,2025-01-03,5618.07
E00363,Theresa Washington,25,F,Operations,Support,2018-10-01,6792.17
E00364,Taylor Bell,27,F,HR,Finance,2019-02-04,5722.46
E00365,Amanda Marsh,35,M,IT,Engineer,2017-12-30,2240.74
E00366,Adam Vargas,60,M,Sales,Manager,2018-06-23,2667.07
E00367,Shannon Black,44,F,HR,Manager,2017-08-26,6524.3
E00368,Timothy Walton,22,M,Operations,Support,2017-05-20,984.03
E00369,Gregory Lawson,27,M,HR,Finance,2018-11-18,3333.25
E00370,Kevin Padilla,42,F,HR,Finance,2016-09-23,4854.26
E00371,Natalie Martinez,57,M,Operations,Sales,2021-01-13,4764.62
E00372,Timothy Walker,47,F,Finance,Support,2021-12-05,5127.29
E00373,Gina Meyer,42,M,Operations,Engineer,2017-02-03,5233.73
E00374,Carol Murillo,49,F,IT,Finance,2024-01-13,1857.96
E00375,Dustin Delacruz,56,F,IT,Finance,2024-07-08,6061.51
E00376,Tracy Smith,26,M,IT,Manager,2018-09-09,4494.22
E00377,Deborah Simpson,54,F,IT,Finance,2024-06-12,2908.51
E00378,Dr. William Baldwin,28,F,IT,Finance,2021-05-25,7712.59
E00379,Janice Watkins,29,M,HR,Sales,2021-07-31,3288.98
E00380,Danielle Merritt,25,M,IT,Engineer,2024-10-10,1703.64
E00381,Keith Holt,35,M,Sales,HR,2024-07-11,6837.63
E00382,Kaitlyn Mckenzie,25,M,HR,Finance,2022-11-14,2013.45
E00383,James Gordon,60,M,Finance,Engineer,2021-08-20,7106.94
E00384,Alexander Baker,59,F,IT,Sales,2017-02-13,1652.11
E00385,Jessica Collier,56,F,Finance,HR,2020-11-22,2680.33
E00386,Sandra Cardenas,28,M,Operations,Sales,2025-08-12,2673.2
E00387,Paul Bailey,33,M,IT,Engineer,2015-10-03,4439.06
E00388,Thomas Arnold,26,M,Operations,Engineer,2020-08-02,5927.2
